longitude,latitude,elevation,prec_annual_mm,tmax_mean_c,NDVI,Red,Green,Blue,eco_values,Temperatur,Moisture,Landcover,Landforms,Climate_Re,W_Ecosystm
-4.5,47.0,29.78,125.0227,13.2103,0.559187,64,154,45,179,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,47.1,23.96,104.6779,14.5858,0.657759,30,149,123,165,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,47.2,0,115.454,12.7343,0.386062,99,133,79,151,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,47.3,20.83,145.6738,13.2758,0.506728,78,168,14,118,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,Cool Temperate Moist Settlement on Plains
-4.5,47.4,133.47,135.6647,13.0888,0.53738,105,144,37,104,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,47.5,87.23,105.4647,12.5571,0.426334,82,186,52,178,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,47.6,72.2,147.1693,12.0679,0.587776,74,130,62,147,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,47.7,62.44,150.0453,12.4532,0.508414,102,98,27,162,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,47.8,36.28,112.8883,13.6438,0.517232,35,159,59,188,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,47.9,38.13,129.677,13.1896,0.394128,66,116,42,150,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,48.0,75.29,112.6301,13.2171,0.758491,72,117,125,153,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,48.1,53.33,119.0069,12.91,0.519769,33,147,60,151,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,48.2,66.34,122.4886,12.9969,0.698626,43,146,28,164,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,48.3,10.61,126.1114,12.9375,0.631436,75,114,62,100,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,Cool Temperate Moist Settlement on Plains
-4.5,48.4,66.6,105.3639,12.401,0.569101,116,134,62,159,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,48.5,33.73,122.0712,12.6509,0.728231,86,146,84,155,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,48.6,0,131.8838,11.6831,0.561328,72,173,29,190,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,48.7,113.75,135.5074,11.3512,0.440822,117,158,78,153,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,48.8,74.04,129.4775,11.6495,0.703347,45,160,33,126,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,48.9,0,159.0639,12.2454,0.269541,65,179,33,129,Cool Temperate,Moist,Shrubland,Plains,Cool Temperate Moist,Cool Temperate Moist Shrubland on Plains
-4.5,49.0,60.83,124.7133,11.9672,0.490672,85,150,92,150,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,49.1,34.82,126.752,11.7353,0.645035,87,131,67,165,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,49.2,0,132.3852,11.3574,0.606099,82,156,63,161,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,49.3,75.93,129.1132,11.6747,0.394269,76,155,50,121,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,49.4,0,133.7434,11.6783,0.566572,55,150,64,158,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,Cool Temperate Moist Settlement on Plains
-4.5,49.5,90.37,185.3772,10.4966,0.406161,68,119,105,158,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,49.6,0,121.0158,11.4558,0.95,29,161,92,145,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,49.7,5.33,138.3525,12.053,0.466314,71,116,108,137,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,49.8,75.08,129.137,10.9586,0.609562,88,80,65,149,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,49.9,30.54,108.8936,11.1363,0.530634,47,140,83,155,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,50.0,107.89,126.4829,10.317,0.49214,120,133,65,161,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,50.1,111.21,133.4445,10.4967,0.777384,135,187,56,140,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,Cool Temperate Moist Settlement on Plains
-4.5,50.2,25.61,114.8973,11.6412,0.619749,47,145,74,160,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,50.3,0,137.9212,10.9068,0.47723,87,109,92,140,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,50.4,39.65,82.2854,11.0543,0.319863,63,141,42,145,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,50.5,54.72,157.0753,9.9867,0.450812,102,137,28,176,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,50.6,145.44,120.9393,10.0711,0.339428,46,169,95,99,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.5,50.7,80.41,142.3522,10.1006,0.526719,126,174,109,175,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.5,50.8,39.38,124.714,9.8178,0.492581,2,155,44,176,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,50.9,96.88,120.5537,10.1145,0.418213,120,128,86,134,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.5,51.0,72.02,106.3286,10.01,0.351594,129,139,54,153,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.4,41.5,584.09,135.107,14.7071,0.654515,84,166,73,136,Cool Temperate,Moist,Grassland,Tablelands,Cool Temperate Moist,Cool Temperate Moist Grassland on Tablelands
-4.4,41.6,729.0,132.0408,13.2595,0.696659,46,170,31,150,Cool Temperate,Moist,Forest,Tablelands,Cool Temperate Moist,Cool Temperate Moist Forest on Tablelands
-4.4,41.7,383.77,98.3337,15.0032,0.453514,85,128,62,190,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,Warm Temperate Moist Forest on Plains
-4.4,41.8,439.25,113.3498,14.9436,0.577267,138,139,84,162,Cool Temperate,Moist,Grassland,Tablelands,Cool Temperate Moist,Cool Temperate Moist Grassland on Tablelands
-4.4,41.9,606.98,127.8107,14.9705,0.537861,82,174,32,190,Cool Temperate,Moist,Settlement,Tablelands,Cool Temperate Moist,Cool Temperate Moist Settlement on Tablelands
-4.4,42.0,605.6,125.6909,13.0295,0.464347,86,120,71,164,Cool Temperate,Moist,Settlement,Tablelands,Cool Temperate Moist,Cool Temperate Moist Settlement on Tablelands
-4.4,42.1,609.54,129.0418,14.0104,0.526308,73,141,58,142,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,Cool Temperate Moist Forest on Hills
-4.4,42.2,768.95,134.9103,12.5155,0.660302,116,133,105,130,Cool Temperate,Moist,Forest,Tablelands,Cool Temperate Moist,Cool Temperate Moist Forest on Tablelands
-4.4,42.3,885.45,101.444,12.6671,0.503454,82,140,47,136,Cool Temperate,Moist,Grassland,Mountains,Cool Temperate Moist,Cool Temperate Moist Grassland on Mountains
-4.4,42.4,354.02,108.8196,14.9714,0.708509,117,143,29,158,Cool Temperate,Moist,Shrubland,Hills,Cool Temperate Moist,Cool Temperate Moist Shrubland on Hills
-4.4,42.5,112.61,126.2417,16.7471,0.552741,86,168,43,162,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,Warm Temperate Moist Cropland on Plains
-4.4,42.6,498.06,118.4497,13.7117,0.38444,86,146,145,165,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,Cool Temperate Moist Cropland on Hills
-4.4,42.7,759.71,131.7045,12.1134,0.726014,65,101,56,143,Cool Temperate,Moist,Shrubland,Hills,Cool Temperate Moist,Cool Temperate Moist Shrubland on Hills
-4.4,42.8,73.92,140.5324,15.9184,0.513676,72,120,47,154,Warm Temperate,Moist,Grassland,Plains,Warm Temperate Moist,Warm Temperate Moist Grassland on Plains
-4.4,42.9,1073.69,107.8451,9.1112,0.473699,103,145,76,162,Cool Temperate,Moist,Shrubland,Mountains,Cool Temperate Moist,Cool Temperate Moist Shrubland on Mountains
-4.4,43.0,400.54,130.7479,15.0908,0.543016,34,217,68,136,Warm Temperate,Moist,Settlement,Tablelands,Warm Temperate Moist,Warm Temperate Moist Settlement on Tablelands
-4.4,43.1,746.0,112.7628,12.5489,0.704726,131,199,65,156,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,Cool Temperate Moist Forest on Hills
-4.4,43.2,867.71,130.8767,12.0729,0.633261,89,101,84,151,Cool Temperate,Moist,Cropland,Mountains,Cool Temperate Moist,Cool Temperate Moist Cropland on Mountains
-4.4,43.3,557.71,107.3697,13.1983,0.575218,44,167,83,155,Cool Temperate,Moist,Shrubland,Tablelands,Cool Temperate Moist,Cool Temperate Moist Shrubland on Tablelands
-4.4,43.4,592.5,177.3775,13.6055,0.634544,98,114,95,169,Cool Temperate,Moist,Shrubland,Hills,Cool Temperate Moist,Cool Temperate Moist Shrubland on Hills
-4.4,43.5,92.66,133.7187,15.5833,0.600039,51,111,59,130,Warm Temperate,Moist,Grassland,Plains,Warm Temperate Moist,Warm Temperate Moist Grassland on Plains
-4.4,43.6,0,124.5942,16.2151,0.516268,62,83,40,122,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,Warm Temperate Moist Settlement on Plains
-4.4,43.7,92.22,140.9039,15.29,0.469802,94,113,62,132,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,Warm Temperate Moist Forest on Plains
-4.4,43.8,20.46,149.3018,15.6203,0.772451,131,163,74,154,Warm Temperate,Moist,Shrubland,Plains,Warm Temperate Moist,Warm Temperate Moist Shrubland on Plains
-4.4,43.9,27.93,164.6606,16.1018,0.660631,38,123,21,171,Warm Temperate,Moist,Shrubland,Plains,Warm Temperate Moist,Warm Temperate Moist Shrubland on Plains
-4.4,44.0,0,141.7142,16.5178,0.581393,74,152,50,149,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,Warm Temperate Moist Forest on Plains
-4.4,44.1,54.63,137.5525,15.8284,0.455144,83,100,81,113,Warm Temperate,Moist,Shrubland,Plains,Warm Temperate Moist,Warm Temperate Moist Shrubland on Plains
-4.4,44.2,84.49,126.9951,14.7063,0.528376,130,115,63,162,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,Cool Temperate Moist Settlement on Plains
-4.4,44.3,60.54,123.7668,14.2721,0.611137,107,174,102,163,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.4,44.4,111.85,117.1319,15.344,0.642596,94,161,38,190,Warm Temperate,Moist,Grassland,Plains,Warm Temperate Moist,Warm Temperate Moist Grassland on Plains
-4.4,44.5,66.98,140.7626,15.2817,0.689062,69,118,49,130,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,Warm Temperate Moist Forest on Plains
-4.4,44.6,14.12,116.0973,15.6142,0.541443,114,168,39,136,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,Warm Temperate Moist Cropland on Plains
-4.4,44.7,107.74,127.4103,14.9347,0.541289,73,159,77,161,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.4,44.8,101.31,121.8344,15.1536,0.576639,58,135,30,139,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,Warm Temperate Moist Forest on Plains
-4.4,44.9,157.33,131.2421,14.7712,0.556132,132,111,35,138,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,Cool Temperate Moist Settlement on Plains
-4.4,45.0,24.2,142.9374,15.1771,0.563896,93,100,92,110,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,Warm Temperate Moist Cropland on Plains
-4.4,45.1,23.83,115.8114,15.0686,0.597732,133,168,64,135,Warm Temperate,Moist,Shrubland,Plains,Warm Temperate Moist,Warm Temperate Moist Shrubland on Plains
-4.4,45.2,85.28,142.6579,15.0486,0.644122,103,124,58,113,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,Warm Temperate Moist Cropland on Plains
-4.4,45.3,52.91,136.0975,14.9229,0.704117,82,96,84,180,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.4,45.4,0,110.0897,15.0246,0.463126,111,110,87,148,Warm Temperate,Moist,Grassland,Plains,Warm Temperate Moist,Warm Temperate Moist Grassland on Plains
-4.4,45.5,23.93,108.9715,15.1489,0.582896,91,101,59,156,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,Warm Temperate Moist Forest on Plains
-4.4,45.6,30.39,132.6394,14.5886,0.508229,118,95,42,134,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.4,45.7,0,129.698,14.0395,0.515351,112,118,77,175,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.4,45.8,62.51,154.9458,14.3301,0.705616,53,179,49,149,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.4,45.9,1.55,109.6403,12.9904,0.525198,35,190,32,172,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,Cool Temperate Moist Settlement on Plains
-4.4,46.0,0,126.6687,13.8909,0.514596,117,165,56,181,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.4,46.1,129.49,132.3289,13.3924,0.5901,45,82,51,177,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.4,46.2,0,141.9442,14.6621,0.510773,42,177,79,122,Cool Temperate,Moist,Shrubland,Plains,Cool Temperate Moist,Cool Temperate Moist Shrubland on Plains
-4.4,46.3,182.4,146.7824,13.0459,0.649058,74,139,42,190,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.4,46.4,7.15,133.8307,14.068,0.586582,87,128,71,112,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.4,46.5,102.85,129.7847,13.4894,0.486729,67,152,85,120,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.4,46.6,46.77,113.7928,13.4924,0.694097,120,132,65,115,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.4,46.7,0,136.0772,13.7487,0.424034,94,115,133,131,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.4,46.8,62.68,113.7524,12.5227,0.547717,90,157,24,125,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.4,46.9,0,123.4266,12.8909,0.531239,113,91,55,183,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.4,47.0,0,133.2075,13.7879,0.504043,126,110,108,119,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.4,47.1,116.92,133.1508,13.0124,0.935727,74,145,108,133,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.4,47.2,32.78,162.2054,13.4849,0.613875,24,149,66,127,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.4,47.3,74.36,128.1968,12.9205,0.777627,33,125,53,148,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
-4.4,47.4,52.37,131.0301,13.2199,0.720837,72,132,80,129,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,Cool Temperate Moist Grassland on Plains
-4.4,47.5,121.83,129.2045,12.531,0.616725,42,157,66,170,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,Cool Temperate Moist Settlement on Plains
-4.4,47.6,14.09,106.0731,12.5053,0.77825,29,125,59,149,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,Cool Temperate Moist Forest on Plains
-4.4,47.7,107.14,111.5242,12.5308,0.692237,73,148,67,179,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,Cool Temperate Moist Cropland on Plains
